Tiempo de respuesta,Notificador,Rescatista
0.4212126,10.1.0.5,10.1.0.9
4.0372466000000005,10.1.0.4,10.1.0.9
0.1339286,10.1.0.3,10.1.0.8
0.22257099999999996,10.1.0.1,10.1.0.6
0.15962500000000002,10.1.0.3,10.1.0.9
0.19497099999999998,10.1.0.1,10.1.0.6
0.366314,10.1.0.3,10.1.0.8
0.518566,10.1.0.3,10.1.0.6
0.15688400000000002,10.1.0.2,10.1.0.8
0.20615500000000003,10.1.0.1,10.1.0.6
0.6390159999999999,10.1.0.3,10.1.0.8
0.06662299999999999,10.1.0.5,10.1.0.8
0.9886240000000001,10.1.0.1,10.1.0.6
0.055034999999999945,10.1.0.2,10.1.0.9
0.566751,10.1.0.2,10.1.0.8
0.9437529999999998,10.1.0.1,10.1.0.8
0.686601,10.1.0.3,10.1.0.9
3.340807,10.1.0.4,10.1.0.8
0.036439,10.1.0.5,10.1.0.8
0.90145,10.1.0.2,10.1.0.8
0.6995189999999999,10.1.0.1,10.1.0.9
3.08136,10.1.0.4,10.1.0.9
0.5052299999999998,10.1.0.3,10.1.0.8
3.4665000000000004,10.1.0.4,10.1.0.8
1.88858,10.1.0.2,10.1.0.6
0.03644000000000003,10.1.0.5,10.1.0.6
1.1100499999999998,10.1.0.3,10.1.0.9
0.04068999999999989,10.1.0.5,10.1.0.8
3.78615,10.1.0.4,10.1.0.6
1.0913700000000002,10.1.0.1,10.1.0.8
0.71059,10.1.0.5,10.1.0.8
2.20101,10.1.0.1,10.1.0.6
1.69065,10.1.0.3,10.1.0.9
2.6326899999999998,10.1.0.1,10.1.0.8
1.9617799999999999,10.1.0.2,10.1.0.9
3.42303,10.1.0.2,10.1.0.8
3.9251199999999997,10.1.0.4,10.1.0.8
1.3633000000000002,10.1.0.5,10.1.0.6
5.0243400000000005,10.1.0.2,10.1.0.8
1.50414,10.1.0.5,10.1.0.8
1.9386900000000002,10.1.0.5,10.1.0.6
1.4604499999999998,10.1.0.3,10.1.0.6
4.70085,10.1.0.1,10.1.0.9
3.9614200000000004,10.1.0.4,10.1.0.9
4.195930000000001,10.1.0.4,10.1.0.9
0.6527600000000002,10.1.0.3,10.1.0.6
4.51642,10.1.0.4,10.1.0.9
1.5929099999999998,10.1.0.5,10.1.0.6
3.1319600000000003,10.1.0.5,10.1.0.6
0.6812100000000001,10.1.0.3,10.1.0.9
4.23856,10.1.0.5,10.1.0.9
0.0938124,10.1.0.1,10.1.0.9
0.09905209999999999,10.1.0.4,10.1.0.7
0.10515200000000001,10.1.0.3,10.1.0.8
0.07355600000000001,10.1.0.1,10.1.0.6
0.036439,10.1.0.4,10.1.0.9
0.055593000000000004,10.1.0.2,10.1.0.6
0.036439,10.1.0.3,10.1.0.7
0.055552999999999964,10.1.0.5,10.1.0.8
0.046870999999999996,10.1.0.5,10.1.0.10
0.03643799999999997,10.1.0.5,10.1.0.7
0.092777,10.1.0.5,10.1.0.8
0.14081600000000005,10.1.0.4,10.1.0.6
0.11028499999999997,10.1.0.5,10.1.0.8
0.10616100000000006,10.1.0.1,10.1.0.10
0.03643900000000011,10.1.0.1,10.1.0.9
0.06469800000000003,10.1.0.1,10.1.0.7
0.03644000000000003,10.1.0.5,10.1.0.6
0.04218999999999995,10.1.0.3,10.1.0.7
0.06888000000000005,10.1.0.3,10.1.0.8
0.03644000000000003,10.1.0.5,10.1.0.7
0.05879999999999996,10.1.0.3,10.1.0.7
0.0626500000000001,10.1.0.5,10.1.0.9
0.03644000000000003,10.1.0.3,10.1.0.8
0.03644999999999987,10.1.0.2,10.1.0.10
0.06284000000000001,10.1.0.5,10.1.0.8
0.036439999999999806,10.1.0.4,10.1.0.6
0.03642999999999996,10.1.0.2,10.1.0.8
0.060739999999999794,10.1.0.2,10.1.0.9
0.03642999999999996,10.1.0.3,10.1.0.8
0.04676999999999998,10.1.0.2,10.1.0.6
0.036459999999999715,10.1.0.4,10.1.0.10
0.06730999999999998,10.1.0.1,10.1.0.8
0.92204,10.1.0.5,10.1.0.10
0.05990999999999991,10.1.0.4,10.1.0.9
0.03703999999999974,10.1.0.3,10.1.0.10
0.6406499999999999,10.1.0.2,10.1.0.10
0.036439999999999806,10.1.0.1,10.1.0.9
0.03644000000000025,10.1.0.4,10.1.0.7
0.03642999999999974,10.1.0.1,10.1.0.7
0.3791100000000003,10.1.0.5,10.1.0.10
0.3394499999999998,10.1.0.2,10.1.0.8
0.06806999999999963,10.1.0.3,10.1.0.9
0.06198999999999977,10.1.0.3,10.1.0.7
0.23290000000000033,10.1.0.5,10.1.0.9
0.26251000000000024,10.1.0.5,10.1.0.8
0.2669100000000002,10.1.0.2,10.1.0.8
0.13538000000000006,10.1.0.4,10.1.0.6
1.1644699999999997,10.1.0.5,10.1.0.9
0.09882999999999997,10.1.0.1,10.1.0.10
0.032119999999999926,10.1.0.1,10.1.0.6
0.044299999999999784,10.1.0.1,10.1.0.9
0.01900999999999975,10.1.0.1,10.1.0.7
0.019000000000000128,10.1.0.3,10.1.0.7
0.02776999999999985,10.1.0.1,10.1.0.6
0.027670000000000528,10.1.0.2,10.1.0.7
0.12117000000000022,10.1.0.5,10.1.0.6
0.036439999999999806,10.1.0.4,10.1.0.8
0.5125599999999997,10.1.0.5,10.1.0.6
