Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
1.1548257,10.1.0.4,10.1.0.9
0.3879293,10.1.0.3,10.1.0.7
1.152562,10.1.0.4,10.1.0.7
1.1431211000000001,10.1.0.4,10.1.0.9
1.8257693000000002,10.1.0.4,10.1.0.10
2.0464692,10.1.0.4,10.1.0.7
0.36081799999999997,10.1.0.3,10.1.0.6
0.343183,10.1.0.3,10.1.0.8
0.35628399999999993,10.1.0.2,10.1.0.7
0.3557290000000001,10.1.0.2,10.1.0.8
2.4829600000000003,10.1.0.4,10.1.0.7
0.316462,10.1.0.1,10.1.0.8
0.21386400000000005,10.1.0.1,10.1.0.6
0.08803299999999992,10.1.0.3,10.1.0.10
0.07673799999999997,10.1.0.1,10.1.0.9
0.097607,10.1.0.5,10.1.0.7
0.09771599999999991,10.1.0.5,10.1.0.6
0.09154899999999999,10.1.0.2,10.1.0.7
0.03643800000000008,10.1.0.3,10.1.0.8
0.03643599999999991,10.1.0.5,10.1.0.7
0.054139999999999966,10.1.0.1,10.1.0.7
0.03740999999999994,10.1.0.5,10.1.0.9
0.06984000000000012,10.1.0.1,10.1.0.8
0.09985,10.1.0.1,10.1.0.10
0.03644000000000003,10.1.0.2,10.1.0.8
0.04631999999999992,10.1.0.3,10.1.0.6
0.03644000000000003,10.1.0.5,10.1.0.8
0.03644000000000003,10.1.0.2,10.1.0.9
0.052000000000000046,10.1.0.5,10.1.0.8
0.04020999999999986,10.1.0.2,10.1.0.6
0.07505000000000006,10.1.0.1,10.1.0.10
0.07340000000000013,10.1.0.1,10.1.0.8
0.02766999999999986,10.1.0.1,10.1.0.8
0.03644000000000003,10.1.0.5,10.1.0.9
1.4010500000000001,10.1.0.4,10.1.0.9
0.027670000000000083,10.1.0.5,10.1.0.8
0.03642999999999974,10.1.0.5,10.1.0.9
1.37277,10.1.0.4,10.1.0.6
0.036430000000000184,10.1.0.1,10.1.0.7
0.04459999999999997,10.1.0.5,10.1.0.8
0.0458400000000001,10.1.0.2,10.1.0.10
0.036439999999999806,10.1.0.3,10.1.0.9
1.7467600000000005,10.1.0.4,10.1.0.7
0.027779999999999916,10.1.0.1,10.1.0.10
0.03645999999999994,10.1.0.2,10.1.0.10
0.02766999999999964,10.1.0.3,10.1.0.8
3.45942,10.1.0.4,10.1.0.9
0.03644999999999987,10.1.0.3,10.1.0.10
3.70014,10.1.0.4,10.1.0.8
0.027770000000000294,10.1.0.5,10.1.0.6
0.04168000000000038,10.1.0.5,10.1.0.9
0.019000000000000128,10.1.0.5,10.1.0.7
0.027670000000000083,10.1.0.2,10.1.0.7
0.02776999999999985,10.1.0.1,10.1.0.6
0.07472000000000012,10.1.0.1,10.1.0.9
0.04405999999999999,10.1.0.2,10.1.0.7
0.019000000000000128,10.1.0.1,10.1.0.8
0.027779999999999916,10.1.0.2,10.1.0.6
5.5252300000000005,10.1.0.4,10.1.0.8
0.019000000000000128,10.1.0.5,10.1.0.7
0.02766999999999964,10.1.0.3,10.1.0.6
0.01900999999999975,10.1.0.5,10.1.0.6
0.027790000000000425,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.5,10.1.0.8
0.019000000000000128,10.1.0.3,10.1.0.7
0.019010000000000637,10.1.0.3,10.1.0.6
0.019010000000000637,10.1.0.3,10.1.0.7
0.01902000000000026,10.1.0.1,10.1.0.10
3.28334,10.1.0.4,10.1.0.9
0.02303999999999995,10.1.0.5,10.1.0.10
0.01900999999999975,10.1.0.3,10.1.0.6
0.019000000000000128,10.1.0.2,10.1.0.8
0.01899999999999924,10.1.0.3,10.1.0.6
0.019010000000000637,10.1.0.2,10.1.0.10
0.01900999999999975,10.1.0.3,10.1.0.8
0.01900999999999975,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.2,10.1.0.10
0.01900999999999975,10.1.0.1,10.1.0.9
0.01900999999999975,10.1.0.1,10.1.0.6
2.1309421,10.1.0.2,10.1.0.8
0.15374000000000002,10.1.0.1,10.1.0.9
1.1502279,10.1.0.3,10.1.0.7
0.139885,10.1.0.5,10.1.0.9
0.134266,10.1.0.5,10.1.0.8
0.170225,10.1.0.5,10.1.0.8
2.041752,10.1.0.2,10.1.0.10
2.0221250000000004,10.1.0.2,10.1.0.8
2.331804,10.1.0.2,10.1.0.8
0.151231,10.1.0.4,10.1.0.10
0.603854,10.1.0.4,10.1.0.8
0.9639420000000001,10.1.0.5,10.1.0.7
0.613885,10.1.0.4,10.1.0.10
0.8436799999999999,10.1.0.5,10.1.0.8
0.03643799999999997,10.1.0.1,10.1.0.8
0.4071649999999999,10.1.0.4,10.1.0.7
0.46562400000000004,10.1.0.3,10.1.0.8
0.3908919999999999,10.1.0.4,10.1.0.9
0.06739099999999998,10.1.0.1,10.1.0.9
1.6163599999999998,10.1.0.2,10.1.0.10
1.2101920000000002,10.1.0.5,10.1.0.6
1.5280999999999998,10.1.0.2,10.1.0.9
0.5842399999999999,10.1.0.1,10.1.0.9
0.8603000000000001,10.1.0.4,10.1.0.10
0.82694,10.1.0.3,10.1.0.9
1.5192500000000002,10.1.0.2,10.1.0.6
0.78,10.1.0.5,10.1.0.8
0.6937500000000001,10.1.0.4,10.1.0.6
1.47021,10.1.0.2,10.1.0.9
0.07345000000000002,10.1.0.1,10.1.0.8
0.3434300000000001,10.1.0.1,10.1.0.8
0.9218499999999998,10.1.0.5,10.1.0.7
1.44051,10.1.0.2,10.1.0.7
4.105309999999999,10.1.0.2,10.1.0.8
0.7364299999999999,10.1.0.1,10.1.0.10
0.22988000000000008,10.1.0.3,10.1.0.6
0.2641,10.1.0.4,10.1.0.9
1.7589199999999998,10.1.0.5,10.1.0.7
0.13451000000000013,10.1.0.4,10.1.0.7
0.5367900000000003,10.1.0.4,10.1.0.8
0.036439999999999806,10.1.0.3,10.1.0.7
5.12955,10.1.0.2,10.1.0.10
6.13236,10.1.0.2,10.1.0.9
