Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
0.06362000000000023,10.1.0.5,10.1.0.9
0.09443000000000001,10.1.0.2,10.1.0.8
0.6322399999999999,10.1.0.2,10.1.0.8
0.10098000000000029,10.1.0.3,10.1.0.6
0.04917000000000016,10.1.0.4,10.1.0.9
0.036439999999999806,10.1.0.3,10.1.0.6
0.8678300000000001,10.1.0.2,10.1.0.7
0.03727000000000036,10.1.0.4,10.1.0.8
0.06233999999999984,10.1.0.1,10.1.0.10
0.18447999999999976,10.1.0.1,10.1.0.8
0.14669,10.1.0.1,10.1.0.6
0.47085,10.1.0.2,10.1.0.7
0.48396000000000017,10.1.0.1,10.1.0.7
0.036450000000000315,10.1.0.4,10.1.0.10
0.036439999999999806,10.1.0.3,10.1.0.9
0.03644000000000025,10.1.0.5,10.1.0.7
0.04463000000000017,10.1.0.4,10.1.0.6
0.036439999999999806,10.1.0.2,10.1.0.7
0.036439999999999806,10.1.0.3,10.1.0.8
0.036439999999999806,10.1.0.4,10.1.0.7
0.0383300000000002,10.1.0.4,10.1.0.7
0.04567000000000032,10.1.0.3,10.1.0.9
0.058999999999999275,10.1.0.1,10.1.0.8
0.07336999999999971,10.1.0.3,10.1.0.10
0.036439999999999806,10.1.0.5,10.1.0.8
0.036439999999999806,10.1.0.5,10.1.0.6
0.059479999999999755,10.1.0.3,10.1.0.8
0.07133000000000056,10.1.0.2,10.1.0.9
0.036439999999999806,10.1.0.5,10.1.0.8
0.036439999999999806,10.1.0.5,10.1.0.6
0.03645999999999994,10.1.0.1,10.1.0.10
0.036439999999999806,10.1.0.3,10.1.0.8
0.02768000000000015,10.1.0.3,10.1.0.8
0.04450999999999983,10.1.0.3,10.1.0.9
0.07034999999999947,10.1.0.2,10.1.0.10
0.02766999999999964,10.1.0.1,10.1.0.8
0.036439999999999806,10.1.0.2,10.1.0.9
0.036439999999999806,10.1.0.4,10.1.0.7
0.06949999999999967,10.1.0.2,10.1.0.7
0.027670000000000528,10.1.0.4,10.1.0.8
0.03645999999999994,10.1.0.1,10.1.0.10
0.036430000000000184,10.1.0.5,10.1.0.9
0.036440000000000694,10.1.0.5,10.1.0.7
0.036450000000000315,10.1.0.4,10.1.0.10
0.0722700000000005,10.1.0.5,10.1.0.10
0.027670000000000528,10.1.0.2,10.1.0.8
0.027779999999999916,10.1.0.3,10.1.0.9
0.027779999999999916,10.1.0.3,10.1.0.10
0.027770000000000294,10.1.0.3,10.1.0.6
0.027770000000000294,10.1.0.3,10.1.0.6
0.06381999999999977,10.1.0.3,10.1.0.9
0.08022000000000018,10.1.0.5,10.1.0.7
0.08254000000000028,10.1.0.1,10.1.0.8
0.04985999999999979,10.1.0.3,10.1.0.6
0.07727999999999957,10.1.0.4,10.1.0.9
